,Code,Company,Sector,Market Capitalisation,Chairperson,HQ
0,360,Life360,Information Technology,3420074734,Chris Hulls,"San Mateo, California, United States of America"
1,4DX,4DMedical,Healthcare,3318719295,Lil Bianchi,Melbourne
2,A2M,a2 Milk Company,Consumer Staples,6811751962,Pip Greenwood,"Auckland, New Zealand"
3,AAI,Alcoa,Materials,3915655069,Thomas Gorman,"Pittsburgh, Pennsylvania, United States of America"
4,AFI,Australian Foundation Investment Company,Financials,8219797877,Craig Drummond,Melbourne
5,AGL,AGL Energy,Utilities,6673652551,Miles George,Sydney
6,AIA,Auckland Airport,Industrials,11372720565,Julia Hoare,"Auckland, New Zealand"
7,ALD,Ampol,Energy,7928310834,Steven Gregg,Sydney
8,ALK,Alkane Resources,Materials,2035645183,Ian Gandel,Perth
9,ALL,Aristocrat Leisure,Consumer Discretionary,27997036412,Neil Chatfield,Sydney
10,ALQ,ALS,Industrials,10633016485,Nigel Garrard,Brisbane
11,ALX,Atlas Arteria,Industrials,6152364419,Debbie Goodin,Bermuda
12,AMC,Amcor,Materials,8401093541,Graeme Liebelt,"Warmley, Bristol, United Kingdom"
13,AMP,AMP,Financials,3253285693,Mike Hirst,Sydney
14,ANN,Ansell,Healthcare,4074959389,Nigel Garrard,Melbourne
15,ANZ,Australia & New Zealand Banking Group,Financials,110410102996,Paul O'Sullivan,Melbourne
16,APA,APA Group,Utilities,13052188932,Michael Fraser,Sydney
17,APE,Eagers Automotive,Consumer Discretionary,6689211167,Timothy Boyd Crommelin,Brisbane
18,ARB,ARB Corporation,Consumer Discretionary,1675785496,Robert Fraser,Melbourne
19,ARG,Argo Investments,Financials,6457586317,Peter Warne,Adelaide
20,ASB,Austal,Industrials,1907666999,Richard Spencer,Perth
21,ASK,Abacus Storage King,Real Estate,1754327454,John O'Sullivan,Sydney
22,ASX,ASX,Financials,10311777732,David Clarke,Sydney
23,AUB,AUB Group,Financials,3124921167,Peter Harmer,Sydney
24,AZJ,Aurizon,Industrials,6834227569,Tim Longstaff,Brisbane
25,BEN,Bendigo & Adelaide Bank,Financials,5860403299,Jacqueline Hey,Bendigo
26,BFL,BSP Financial Group,Financials,3714398833,Robert Bradshaw,"Port Moresby, Papua New Guinea"
27,BGA,Bega Cheese,Consumer Staples,1838371924,Barry Irvin,Bega
28,BGL,Bellevue Gold,Materials,2280703096,Kevin Tomlinson,Perth
29,BHP,BHP,Materials,260319697098,Ross McEwan,Melbourne/London
30,BOQ,Bank of Queensland,Financials,4497992294,Andrew Fraser,Brisbane
31,BPT,Beach Energy,Energy,2977140421,Ryan Stokes,Adelaide
32,BRG,Breville Group,Consumer Discretionary,3893260520,Solomon Lew,Sydney
33,BSL,BlueScope,Materials,11420678626,Jane McAloon,Melbourne
34,BWP,BWP Trust,Real Estate,2630779541,Fiona Harris,Perth
35,BXB,Brambles,Industrials,30843257058,John Mullen,Sydney
