Company,Sector,GICS Sub-Industry,Ticker,MarketCap
Accor,Consumer Services,"Hotels, Restaurants & Leisure",AC.PA,9482022851
Air Liquide,Basic Materials,Industrial Gases,AI.PA,98758823545
Airbus,Industrials,Aerospace & Defense,AIR.PA,1.329E+11
ArcelorMittal,Basic Materials,Steel,MT.AS,34045157535
Axa,Financial Services,Life & Health Insurance,CS.PA,80070816217
BNP Paribas,Financial Services,Diversified Banks,BNP.PA,94803857340
Bouygues,Industrials,Construction & Engineering,EN.PA,19144009400
Bureau Veritas,Inspection and certification,Consulting,BVI.PA,12502245660
Capgemini,Technology,IT Consulting & Other Services,CAP.PA,18145770987
Carrefour,Consumer Defensive,Hypermarkets & Super Centers,CA.PA,10946619839
Crï¿½ï¿½dit Agri,Financial Services,Regional Banks,ACA.PA,49392107707
Danone,Consumer Defensive,Packaged Foods & Meats,BN.PA,46041238255
Dassault Systï¿½ï¿,Technology,Application Software,DSY.PA,24347656706
Edenred,Industrials,Transaction Processing Services,EDEN.PA,4376976596
Engie,Utilities,Gas Utilities,ENGI.PA,70118953796
EssilorLuxottica,Healthcare,"Apparel, Accessories & Luxury Goods",EL.PA,94815753275
Eurofins Scientific,Healthcare,Biotechnologies,ERF.PA,10850993919
Hermï¿½,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",RMS.PA,1.96358E+11
Kering,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",KER.PA,30495581439
L'Orï¿½ï,Consumer Defensive,Personal Products,OR.PA,1.88772E+11
Legrand,Industrials,Electrical Components & Equipment,LR.PA,35807367782
LVMH,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",MC.PA,2.35088E+11
Michelin,Industrials,Tires & Rubber,ML.PA,
Orange,Communication Services,Integrated Telecommunication Services,ORA.PA,46578661847
Pernod Ricard,Consumer Defensive,Distillers & Vintners,RI.PA,17254298683
Publicis,Communication Services,Advertising,PUB.PA,18970781241
Renault,Consumer Cyclical,Automobile Manufacturers,RNO.PA,8251754195
Safran,Industrials,Aerospace & Defense,SAF.PA,1.26785E+11
Saint-Gobain,Industrials,Building Products,SGO.PA,35599247827
Sanofi,Healthcare,Pharmaceuticals,SAN.PA,92243940522
Schneider Electric,Industrials,Electrical Components & Equipment,SU.PA,1.39431E+11
Sociï¿½ï¿½tï¿½ï¿½ Gï,Financial Services,Diversified Banks,GLE.PA,48141081465
Stellantis,Consumer Cyclical,Automobile Manufacturers,STLAP.PA,16546867480
STMicroelectronics,Technology,Semiconductors,STMPA.PA,25432100466
Teleperformance,Communication Services,Outsourcing,TEP.PA,2978625466
Thales,Industrials,Aerospace & Defense,HO.PA,52152007335
TotalEnergies,Energy,Integrated Oil & Gas,TTE.PA,1.53622E+11
Unibail-Rodamco-Westfield,Real Estate,Retail REITs,URW.PA,13471927541
Veolia,Industrials,Multi-Utilities,VIE.PA,24079967786
Vinci,Industrials,Construction & Engineering,DG.PA,71782672577
