Ticker,Company,Sector,MarketCap
ADS.DE,Adidas,Apparel,24800466678
AIR.PA,Airbus,Aerospace & Defence,1.329E+11
ALV.DE,Allianz,Financial Services,1.32608E+11
BAS.DE,BASF,Chemicals,43153445268
BAYN.DE,Bayer,Pharmaceuticals,37955952759
BEI.DE,Beiersdorf,Consumer goods,17141004189
BMW.DE,BMW,Automotive,49557753026
BNR.DE,Brenntag,Distribution,7103760462
CBK.DE,Commerzbank,Financial Services,33362612582
CON.DE,Continental,Automotive,12432371935
DTG.DE,Daimler Truck,Automotive,32726170634
DBK.DE,Deutsche Bank,Financial Services,49439722081
DB1.DE,Deutsche Bï¿½ï¿,Financial Services,44535431826
DHL.DE,Deutsche Post,Logistics,51952399157
DTE.DE,Deutsche Telekom,Telecommunication,1.61251E+11
EOAN.DE,E.ON,Utilities,52000250387
FRE.DE,Fresenius,Healthcare,26370769184
FME.DE,Fresenius Medical Care,Healthcare,11530189962
G1A.DE,GEA Group,Mechanical Engineering,10006507507
HNR1.DE,Hannover Re,Insurance,31499973134
HEI.DE,Heidelberg Materials,Construction Materials,28330934457
HEN3.DE,Henkel,Consumer Goods,29388875642
IFX.DE,Infineon Technologies,Technology,51870735630
MBG.DE,Mercedes-Benz Group,Automotive,48533517517
MRK.DE,Merck,Pharmaceuticals,46869056467
MTX.DE,MTU Aero Engines,Aerospace & Defence,17942758394
MUV2.DE,Munich Re,Financial Services,70644083883
PAH3.DE,Porsche SE,Automotive,9894937921
QIA.DE,Qiagen,Biotech,7459940660
RHM.DE,Rheinmetall,Aerospace & Defence,72872045155
RWE.DE,RWE,Utilities,42160180588
SAP.DE,SAP,Technology,1.94329E+11
G24.DE,Scout24,E-Commerce,5063228403
SIE.DE,Siemens,Industrials,1.72582E+11
ENR.DE,Siemens Energy,Energy technology,1.23127E+11
SHL.DE,Siemens Healthineers,Medical Equipment,43309655469
SY1.DE,Symrise,Chemicals,10312381973
VOW3.DE,Volkswagen Group,Automotive,45566684189
VNA.DE,Vonovia,Real Estate,20341245947
ZAL.DE,Zalando,E-Commerce,6107302487
