Company,Ticker,Sector,MarketCap
3i,III,Financial services,3.02211E+12
Admiral Group,ADM,Insurance,9.80399E+11
Airtel Africa,AAF,Telecommunications services,1.27804E+12
Alliance Witan,ALW,Investment Trusts,4.67314E+11
Anglo American plc,AAL,Mining,3.33126E+12
Antofagasta plc,ANTO,Mining,3.45346E+12
Associated British Foods,ABF,Food & tobacco,1.31229E+12
AstraZeneca,AZN,Pharmaceuticals & biotechnology,2.23008E+13
Autotrader Group,AUTO,Media,4.09273E+11
Aviva,AV,Life insurance,1.92537E+12
Babcock International,BAB,Aerospace & defence,6.8742E+11
BAE Systems,BA,Aerospace & defence,6.72612E+12
Barclays,BARC,Banks,5.32031E+12
Barratt Redrow,BTRW,Household goods & home construction,4.07614E+11
Beazley,BEZ,Insurance,7.58663E+11
Berkeley Group Holdings,BKG,Household goods & home construction,3.48954E+11
BP,BP,Oil & gas producers,8.21217E+12
British American Tobacco,BATS,Tobacco,9.79603E+12
British Land,BLND,Real estate,3.65562E+11
BT Group,BT-A,Telecommunications services,2.08843E+12
Bunzl,BNZL,Support services,7.42556E+11
Burberry Group,BRBY,Personal goods,3.68762E+11
Centrica,CNA,Multiline utilities,9.35434E+11
Coca-Cola Europacific Partners,CCEP,Beverages,3.40043E+12
Coca-Cola HBC,CCH,Beverages,1.65332E+12
Compass Group,CPG,Support services,3.86138E+12
Convatec,CTEC,Health care equipment & supplies,4.63179E+11
Croda International,CRDA,Chemicals,3.73545E+11
DCC plc,DCC,Support services,4.02514E+11
Diageo,DGE,Beverages,3.26292E+12
Diploma,DPLM,Industrial Support services,6.76508E+11
Endeavour Mining,EDV,Precious Metals and Mining,1.06353E+12
Entain,ENT,Travel & leisure,3.50247E+11
EasyJet,EZJ,Travel & leisure,2.77341E+11
Experian,EXPN,Support services,2.47905E+12
F & C Investment Trust,FCIT,Collective investments,5.76987E+11
Fresnillo plc,FRES,Mining,2.50986E+12
Games Workshop,GAW,Leisure Goods,5.70338E+11
Glencore,GLEN,Mining,6.06354E+12
GSK plc,GSK,Pharmaceuticals & biotechnology,8.13808E+12
Haleon,HLN,Pharmaceuticals & biotechnology,3.33866E+12
Halma plc,HLMA,Electronic equipment & parts,1.46473E+12
Hikma Pharmaceuticals,HIK,Pharmaceuticals & biotechnology,2.7206E+11
Hiscox,HSX,Non-life Insurance,4.82337E+11
Howdens Joinery,HWDN,Homebuilding & construction supplies,4.51444E+11
HSBC,HSBA,Banks,2.02319E+13
ICG,ICG,Financial services,4.46847E+11
IHG Hotels & Resorts,IHG,Travel & leisure,19313722954
IMI,IMI,Industrial engineering,6.50025E+11
Imperial Brands,IMB,Tobacco,2.50686E+12
Informa,INF,Media,9.65874E+11
International Airlines Group,IAG,Travel & leisure,1.61472E+12
Intertek,ITRK,Support services,5.73252E+11
JD Sports,JD,General retailers,3.56969E+11
Kingfisher plc,KGF,Retailers,5.18226E+11
Land Securities,LAND,Real estate investment trusts,4.3622E+11
Legal & General,LGEN,Life insurance,1.38681E+12
Lloyds Banking Group,LLOY,Banks,5.5397E+12
LondonMetric Property,LMP,Real Estate Investment Trusts,4.49435E+11
London Stock Exchange Group,LSEG,Financial services,4.40558E+12
M&G,MNG,Financial services,7.02156E+11
Marks & Spencer,MKS,Food & drug retailing,7.25627E+11
Melrose Industries,MRO,Aerospace & defence,6.24282E+11
Metlen Energy & Metals,MTLN,Multiline utilities,5391966455
Mondi,MNDI,Containers & packaging,3.60878E+11
National Grid plc,NG,Multiline utilities,6.82809E+12
NatWest Group,NWG,Banks,4.49987E+12
Next plc,NXT,General retailers,1.48524E+12
Pearson plc,PSON,Media,6.21157E+11
Pershing Square Holdings,PSH,Financial services,7.28955E+11
Persimmon,PSN,Household goods & home construction,3.81977E+11
Polar Capital Technology Trust,PCT,Investment trusts,5.51355E+11
Prudential plc,PRU,Life insurance,2.69455E+12
Reckitt,RKT,Household goods & home construction,3.45442E+12
RELX,REL,Media,4.61718E+12
Rentokil Initial,RTO,Support services,1.22667E+12
Rightmove,RMV,Media,3.52339E+11
Rio Tinto,RIO,Mining,1.08356E+13
Rolls-Royce Holdings,RR,Aerospace & defence,1.01509E+13
Sage Group,SGE,Software & computer services,7.80201E+11
Sainsbury's,SBRY,Food & drug retailing,7.72354E+11
Schroders,SDR,Financial services,8.84603E+11
Scottish Mortgage Investment Trust,SMT,Collective investments,1.27794E+12
Segro,SGRO,Real estate investment trusts,9.77458E+11
Severn Trent,SVT,Multiline utilities,9.50837E+11
Shell plc,SHEL,Oil & gas producers,1.89457E+13
Smiths Group,SMIN,General industrials,7.35679E+11
Smith & Nephew,SN,Health care equipment & supplies,1.05954E+12
Spirax Group,SPX,Industrial engineering,5.03654E+11
SSE plc,SSE,Electrical utilities & independent power producers,3.29065E+12
Standard Chartered,STAN,Banks,3.45683E+12
Standard Life,SDLF,Life insurance,6.92028E+11
St. James's Place,STJ,Financial services,6.69429E+11
Tesco,TSCO,Food & drug retailing,3.1072E+12
Tritax Big Box REIT,BBOX,Real Estate Investment Trusts,4.08291E+11
Unilever,ULVR,Personal goods,1.05631E+13
United Utilities,UU,Multiline utilities,9.23277E+11
Vodafone Group,VOD,Mobile telecommunications,2.52532E+12
Weir Group,WEIR,Industrial goods and services,7.37817E+11
Whitbread,WTB,Retail hospitality,3.9298E+11
