,Ticker,Company,Sector,Industry [9],MarketCap
0,AAV,Advantage Energy Ltd.,Energy,Oil & Gas Exploration and Production,1846335710
1,AEM,Agnico Eagle Mines Limited,Basic Materials,Metals & Mining,1.42578E+11
2,AC,Air Canada,Industrials,Transportation,4905119237
3,AGI,Alamos Gold Inc.,Basic Materials,Metals & Mining,26431496491
4,ASTL,Algoma Steel Group Inc.,Basic Materials,Steel,497386202.2
5,AQN,Algonquin Power & Utilities Corp.,Energy,Renewable Energy Producers,6682938331
6,ATD,Alimentation Couche-Tard Inc.,Consumer Cyclical,Retail - Discretionary,77714406044
7,AP.UN,Allied Properties Real Estate Investment Trust,Real Estate,REITs,
8,ALA,AltaGas Ltd.,Utilities,Regulated Utilities,15069740005
9,AIF,Altus Group Limited,Real Estate,Real Estate,1761325527
10,ARX,ARC Resources Ltd.,Energy,Oil & Gas Exploration and Production,15871635274
11,ATZ,Aritzia Inc.,Consumer Cyclical,Retail - Discretionary,12855779916
12,ACO.X,ATCO Ltd.,Utilities,Regulated Utilities,
13,ATH,Athabasca Oil Corporation,Energy,Oil & Gas Exploration and Production,4346082201
14,ATRL,AtkinsR��alis Group ,Industrials,Construction,15199135660
15,ATS,ATS Corporation,Industrials,Industrial Products,3661826057
16,AYA,Aya Gold & Silver Inc.,Basic Materials,Metals & Mining,3099105260
17,BTO,B2Gold Corp.,Basic Materials,Metals & Mining,8877971337
18,BDGI,Badger Infrastructure Solutions Ltd.,Industrials,Construction,2090545178
19,BMO,Bank of Montreal,Financial Services,Banks,1.31458E+11
20,BNS,Bank of Nova Scotia,Financial Services,Banks,1.16683E+11
21,ABX,Barrick Gold Corporation,Basic Materials,Metals & Mining,97321685601
22,BHC,Bausch Health Companies Inc.,Healthcare,Drug Manufacturers,2527235823
23,BTE,Baytex Energy Corp.,Energy,Oil & Gas Exploration and Production,4248793210
24,BCE,BCE Inc.,Communication Services,Telecommunication Services,32722331061
25,BIR,Birchcliff Energy Ltd.,Energy,Oil & Gas Exploration and Production,1975790446
26,BDT,Bird Construction Inc.,Industrials,Construction,1887447016
27,BB,BlackBerry Limited,Information Technology,Software,2697950255
28,BEI.UN,Boardwalk Real Estate Investment Trust,Real Estate,REITs,
29,BBD.B,Bombardier Inc.,Industrials,Aerospace & Defense,
30,BLX,Boralex Inc.,Energy,Renewable Energy Producers,2771312016
31,BYD,Boyd Group Services Inc.,Consumer Cyclical,Personal Services,5873762163
32,BAM,Brookfield Asset Management Ltd.,Financial Services,Asset Management,96504527882
33,BBU.UN,Brookfield Business Partners L.P.,Industrials,Conglomerates,
34,BN,Brookfield Corporation,Financial Services,Asset Management,1.18354E+11
35,BIP.UN,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities,
36,BEP.UN,Brookfield Renewable Partners L.P.,Energy,Renewable Energy Producers,
37,DOO,BRP Inc.,Consumer Cyclical,Vehicles & Parts,6424570435
38,CAE,CAE Inc.,Industrials,Aerospace & Defense,12099877398
39,CXB,Calibre Mining Corp.,Basic Materials,Metals & Mining,
40,CCO,Cameco Corporation,Energy,Other Energy Sources,64541633073
41,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs,
42,CM,Canadian Imperial Bank of Commerce,Financial Services,Banks,1.20437E+11
43,CNR,Canadian National Railway Company,Industrials,Transportation,88047710641
44,CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration and Production,1.38738E+11
45,CP,Canadian Pacific Kansas City Limited,Industrials,Transportation,1.00338E+11
46,CTC.A,Canadian Tire Corporation Limited,Consumer Cyclical,Retail - Discretionary,
47,CU,Canadian Utilities Limited,Utilities,Regulated Utilities,13288642647
48,CWB,Canadian Western Bank,Financial Services,Banks,
49,CPX,Capital Power Corporation,Utilities,Independent Power Producers,9657947000
50,CS,Capstone Copper Corp.,Basic Materials,Metals & Mining,8468953019
51,CJT,Cargojet Inc.,Industrials,Transportation,1282913150
52,CCL.B,CCL Industries Inc.,Consumer Cyclical,Packaging & Containers,
53,CLS,Celestica Inc.,Information Technology,Hardware & Equipment,41673167447
54,CVE,Cenovus Energy Inc.,Energy,Integrated Oil & Gas,60074660010
55,CG,Centerra Gold Inc.,Basic Materials,Metals & Mining,4840261630
56,CEU,CES Energy Solutions Corp.,Energy,Oil & Gas Equipment & Services,3885225437
57,GIB.A,CGI Inc.,Information Technology,Software,
58,CSH.UN,Chartwell Retirement Residences,Real Estate,Real Estate,
59,CHP.UN,Choice Properties Real Estate Investment Trust,Real Estate,REITs,
60,CIX,CI Financial Corp.,Financial Services,Asset Management,
61,CCA,Cogeco Communications Inc.,Communication Services,Telecommunication Services,2976743420
62,CIGI,Colliers International Group Inc.,Real Estate,Real Estate,7570009254
63,CSU,Constellation Software Inc.,Information Technology,Software,53489118698
64,CRR.UN,Crombie Real Estate Investment Trust,Real Estate,REITs,
