,Ticker,Company,Segment,Exchange,Weighting (%)
0,600519.SS,Kweichow Moutai,Consumer Staples,Shanghai,5.972
1,601318.SS,Ping An Insurance,Financials,Shanghai,2.59
2,300750.SS,CATL,Industrials,Shenzhen,2.421
3,600036.SS,China Merchants Bank,Financials,Shanghai,2.225
4,000333.SS,Midea Group,Consumer Discretionary,Shenzhen,1.727
5,000858.SS,Wuliangye Yibin,Consumer Staples,Shenzhen,1.549
6,600900.SS,China Yangtze Power,Utilities,Shanghai,1.375
7,601166.SS,Industrial Bank,Financials,Shanghai,1.358
8,601899.SS,Zijin Mining Group,Materials,Shanghai,1.211
9,600030.SS,CITIC Securities,Financials,Shanghai,1.166
10,600276.SS,Jiangsu Hengrui Medicine,Health Care,Shanghai,1.068
11,601398.SS,Industrial and Commercial Bank of China,Financials,Shanghai,1.048
12,600887.SS,Inner Mongolia Yili Industrial Group,Consumer Staples,Shanghai,1.012
13,300059.SS,East Money,Financials,Shenzhen,0.999
14,000651.SS,Gree Electric,Consumer Discretionary,Shenzhen,0.987
15,300760.SS,Mindray,Health Care,Shenzhen,0.983
16,002594.SS,BYD,Consumer Discretionary,Shenzhen,0.972
17,601328.SS,Bank of Communications,Financials,Shanghai,0.966
18,600309.SS,Wanhua Chemical Group,Materials,Shanghai,0.841
19,000725.SS,BOE Technology Group,Information Technology,Shenzhen,0.839
20,600919.SS,Bank of Jiangsu,Financials,Shanghai,0.79
21,002475.SS,Luxshare Precision Industry,Information Technology,Shenzhen,0.774
22,300124.SS,Shenzhen Inovance Technology,Industrials,Shenzhen,0.757
23,601288.SS,Agricultural Bank of China,Financials,Shanghai,0.75
24,002415.SS,Hangzhou Hikvision Digital Technology,Information Technology,Shenzhen,0.732
25,000568.SS,Luzhou Lao Jiao,Consumer Staples,Shenzhen,0.726
26,601012.SS,Longi Green Energy Technology,Information Technology,Shanghai,0.722
27,601088.SS,China Shenhua Energy,Energy,Shanghai,0.714
28,601816.SS,Beijing-Shanghai High Speed Railway,Industrials,Shanghai,0.696
29,600028.SS,China Petroleum & Chemical Corporation,Energy,Shanghai,0.667
30,600809.SS,Shanxi Xinghuacun Fen Wine Factory,Consumer Staples,Shanghai,0.638
31,601668.SS,China State Construction Engineering,Industrials,Shanghai,0.629
32,603259.SS,WuXi AppTec,Health Care,Shanghai,0.627
33,002714.SS,Muyuan Foodstuff,Consumer Staples,Shenzhen,0.59
34,000001.SS,Ping An Bank,Financials,Shenzhen,0.576
35,300498.SS,Wens Foodstuff Group,Consumer Staples,Shenzhen,0.572
36,600016.SS,China Minsheng Bank,Financials,Shanghai,0.563
37,601857.SS,PetroChina,Energy,Shanghai,0.562
38,601225.SS,Shaanxi Coal Industry Company,Energy,Shanghai,0.561
39,300308.SS,Zhongji Innolight,Information Technology,Shenzhen,0.559
40,688981.SS,Semiconductor Manufacturing International Corporation,Information Technology,Shanghai,0.535
41,000063.SS,ZTE,Information Technology,Shenzhen,0.534
42,601988.SS,Bank of China,Financials,Shanghai,0.528
43,002352.SS,S.F. Holding,Industrials,Shenzhen,0.527
44,600406.SS,NARI Technology,Industrials,Shanghai,0.522
45,600941.SS,China Mobile,Communication,Shanghai,0.517
46,000338.SS,Weichai Power,Industrials,Shenzhen,0.514
47,600050.SS,China United Network Communications,Communication,Shanghai,0.514
48,002230.SS,Iflytek,Information Technology,Shenzhen,0.513
49,600690.SS,Qingdao Haier,Consumer Discretionary,Shanghai,0.512
50,601728.SS,China Telecom Corporation,Communication,Shanghai,0.51
51,300274.SS,Sungrow Power Supply,Industrials,Shenzhen,0.509
52,002142.SS,Bank of Ningbo,Financials,Shenzhen,0.495
53,600837.SS,Haitong Securities Company,Financials,Shanghai,0.495
