,Symbol,Market cap,Company
0,7203,275.53 B ,Toyota Motor Corp.
2,8306,186.3 B ,"Mitsubishi UFJ Financial Group, Inc."
4,6501,139.07 B ,"Hitachi, Ltd."
6,6758,132.54 B ,Sony Group Corporation
8,9983,128.16 B ,"FAST RETAILING CO., LTD."
10,9984,128.13 B ,SoftBank Group Corp.
12,8058,123.88 B ,Mitsubishi Corporation
14,8316,122.3 B ,"Sumitomo Mitsui Financial Group, Inc."
16,8035,110.19 B ,Tokyo Electron Ltd.
18,8031,104.33 B ,"Mitsui & Co.,Ltd"
20,6857,103.49 B ,Advantest Corp.
22,8001,101.05 B ,Itochu Corporation
24,7011,100.07 B ,"Mitsubishi Heavy Industries, Ltd."
26,4519,96.56 B ,"Chugai Pharmaceutical Co., Ltd."
28,8411,95.67 B ,"Mizuho Financial Group, Inc."
30,6861,92.62 B ,Keyence Corporation
32,9432,82.72 B ,NTT Inc
34,4063,80.86 B ,Shin-Etsu Chemical Co Ltd
36,7974,74.64 B ,"Nintendo Co., Ltd."
38,6503,71.91 B ,Mitsubishi Electric Corp.
40,8766,70.5 B ,"Tokio Marine Holdings, Inc."
42,9434,63.71 B ,SoftBank Corp.
44,2914,63.58 B ,Japan Tobacco Inc.
46,9433,62.45 B ,KDDI Corporation
48,6098,59.21 B ,"Recruit Holdings Co., Ltd."
50,7741,58.81 B ,HOYA CORPORATION
52,8002,58.75 B ,Marubeni Corporation
54,4502,56.41 B ,Takeda Pharmaceutical Co. Ltd.
56,5802,50.83 B ,"Sumitomo Electric Industries, Ltd."
58,6146,47.36 B ,Disco Corporation
60,5803,45.87 B ,Fujikura Ltd
62,8053,42.29 B ,Sumitomo Corporation
64,6981,42.23 B ,"Murata Manufacturing Co., Ltd."
66,8015,41.92 B ,Toyota Tsusho Corp.
68,6702,41.25 B ,Fujitsu Limited
70,6301,40.15 B ,Komatsu Ltd.
72,6752,38.23 B ,Panasonic Holdings Corporation
74,8725,36.8 B ,"MS&AD Insurance Group Holdings, Inc."
76,4578,36.42 B ,"Otsuka Holdings Co., Ltd."
78,6701,36.26 B ,NEC Corporation
80,8802,35.44 B ,"Mitsubishi Estate Company, Limited"
82,6954,35.41 B ,Fanuc Corporation
84,8267,35.12 B ,"AEON Co., Ltd."
86,6367,34.98 B ,"DAIKIN INDUSTRIES, LTD."
88,8630,33.72 B ,"Sompo Holdings,Inc."
90,6902,33.46 B ,DENSO CORPORATION
92,7267,33.4 B ,"Honda Motor Co., Ltd."
94,3382,33.22 B ,"Seven & I Holdings Co., Ltd."
96,6178,33.2 B ,"JAPAN POST HOLDINGS Co., Ltd."
98,4568,32.96 B ,"Daiichi Sankyo Company, Limited"
100,1605,32.92 B ,Inpex Corporation
102,8750,32.82 B ,"Dai-ichi Life Holdings,Inc."
104,8801,31.38 B ,"Mitsui Fudosan Co., Ltd."
106,8591,31.24 B ,ORIX Corporation
