,Symbol,Security,Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,MarketCap
0,MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",3/4/1957,66740,1902,81340913214
1,AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",7/26/2017,91142,1916,9414777871
2,ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",3/4/1957,1800,1888,1.9204E+11
3,ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",12/31/2012,1551152,2013 (1888),4.02524E+11
4,ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1467373,1989,1.24685E+11
5,ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,796343,1982,1.11217E+11
6,AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",3/20/2017,2488,1969,3.34226E+11
7,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/1998,874761,1981,10150400879
8,AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",5/28/1999,4977,1955,56666382559
9,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",6/5/2000,1090872,1999,32443121195
10,APD,Air Products,Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania",4/30/1985,2969,1940,61813759854
11,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",9/18/2023,1559720,2008,79285720946
12,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/2007,1086222,1998,15334957455
13,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,915913,1994,19633935585
14,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994,8702277654
15,ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",6/19/2017,1097149,1997,12496696672
16,ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908,12630220610
17,LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917,18326426020
18,ALL,Allstate,Financials,Property & Casualty Insurance,"Northbrook, Illinois",7/13/1995,899051,1931,53740789757
19,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1652044,1998,3.73955E+12
20,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1652044,1998,3.73574E+12
