,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, FACE VALUE,market_cap,Sector
0,20MICRONS,20 Microns Limited,EQ,6-Oct-08,5,6336151040,Basic Materials
1,21STCENMGM,21st Century Management Services Limited,EQ,3-May-95,10,415590016,Financial Services
2,360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,4.51317E+11,Financial Services
3,3IINFOLTD,3i Infotech Limited,EQ,22-Oct-21,10,3086988544,Technology
4,3MINDIA,3M India Limited,EQ,13-Aug-04,10,3.75296E+11,Industrials
5,3PLAND,3P Land Holdings Limited,EQ,19-Jul-95,2,,Unknown
6,5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,10533905408,Financial Services
7,63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,27178743808,Technology
8,A2ZINFRA,A2Z Infra Engineering Limited,EQ,23-Dec-10,10,2500901888,Industrials
9,AAATECH,AAA Technologies Limited,BE,28-Nov-22,10,1319364608,Technology
10,AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,2.0319E+11,Financial Services
11,AAKASH,Aakash Exploration Services Limited,EQ,29-Sep-20,1,799875008,Energy
12,AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,6-Aug-21,10,1949925376,Healthcare
13,AARON,Aaron Industries Limited,EQ,6-Nov-20,10,3257805824,Industrials
14,AARTECH,Aartech Solonics Limited,EQ,10-Jul-23,5,1470968448,Industrials
15,AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,33790871552,Healthcare
16,AARTIIND,Aarti Industries Limited,EQ,8-Feb-95,5,1.28117E+11,Basic Materials
17,AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,69680578560,Healthcare
18,AARTISURF,Aarti Surfactants Limited,EQ,14-Jul-20,10,3434671616,Basic Materials
19,AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1758474496,Industrials
20,AAVAS,Aavas Financiers Limited,EQ,8-Oct-18,10,1.17174E+11,Financial Services
21,ABAN,Aban Offshore Limited,BE,29-Mar-95,2,1295710208,Energy
22,ABB,ABB India Limited,EQ,8-Feb-95,2,9.94862E+11,Industrials
23,ABBOTINDIA,Abbott India Limited,EQ,8-Jan-10,10,5.90306E+11,Healthcare
24,ABCAPITAL,Aditya Birla Capital Limited,EQ,1-Sep-17,10,9.09446E+11,Financial Services
25,ABCOTS,A B Cotspin India Limited,EQ,24-Sep-25,10,8974334976,Consumer Cyclical
26,ABDL,Allied Blenders and Distillers Limited,EQ,2-Jul-24,2,1.25506E+11,Consumer Defensive
27,ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,74977386496,Consumer Cyclical
28,ABINFRA,A B Infrabuild Limited,EQ,8-Nov-24,1,11491820544,Industrials
29,ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-Jun-25,10,1.25901E+11,Consumer Cyclical
30,ABMINTLLTD,ABM International Limited,EQ,9-Sep-21,10,335865600,Basic Materials
31,ABREL,Aditya Birla Real Estate Limited,EQ,27-Jun-03,10,1.42467E+11,Real Estate
32,ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,2.25724E+11,Financial Services
33,ACC,ACC Limited,EQ,20-Nov-96,10,3.13436E+11,Basic Materials
34,ACCELYA,Accelya Solutions India Limited,EQ,1-Dec-99,10,19734435840,Technology
35,ACCURACY,Accuracy Shipping Limited,EQ,11-Dec-20,1,748283200,Industrials
36,ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,94188666880,Industrials
37,ACEINTEG,Ace Integrated Solutions Limited,EQ,4-Nov-22,10,196860000,Industrials
38,ACI,Archean Chemical Industries Limited,EQ,21-Nov-22,2,68247797760,Basic Materials
39,ACL,Andhra Cements Limited,EQ,10-May-23,10,5476652032,Basic Materials
40,ACMESOLAR,Acme Solar Holdings Limited,EQ,13-Nov-24,2,1.20564E+11,Utilities
41,ACUTAAS,Acutaas Chemicals Limited,EQ,14-Sep-21,5,1.35366E+11,Basic Materials
42,ADANIENSOL,Adani Energy Solutions Limited,EQ,31-Jul-15,10,9.78088E+11,Utilities
43,ADANIENT,Adani Enterprises Limited,EQ,4-Jun-97,1,2.40982E+12,Energy
44,ADANIGREEN,Adani Green Energy Limited,EQ,18-Jun-18,10,1.27294E+12,Utilities
45,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-Nov-07,2,3.0145E+12,Industrials
46,ADANIPOWER,Adani Power Limited,EQ,20-Aug-09,2,2.56427E+12,Utilities
47,ADFFOODS,ADF Foods Limited,EQ,15-Sep-10,2,19395317760,Consumer Defensive
48,ADL,Archidply Decor Limited,EQ,1-Oct-20,10,380787168,Consumer Cyclical
49,ADOR,Ador Welding Limited,EQ,10-May-95,10,17442842624,Industrials
50,ADROITINFO,Adroit Infotech Limited,EQ,13-Aug-97,10,556911680,Technology
51,ADSL,Allied Digital Services Limited,EQ,25-Jul-07,5,6783955968,Technology
52,ADVAIT,Advait Energy Transitions Limited,EQ,20-Jan-26,10,15150717952,Industrials
53,ADVANCE,Advance Agrolife Limited,EQ,8-Oct-25,10,8254285824,Basic Materials
54,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-Jun-07,2,5744128000,Consumer Cyclical
55,ADVENTHTL,Advent Hotels International Limited,EQ,13-Nov-25,10,9483159552,Consumer Cyclical
56,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,1-Aug-16,2,30041151488,Basic Materials
57,AEGISLOG,Aegis Logistics Limited,EQ,3-Apr-96,1,2.28624E+11,Energy
58,AEGISVOPAK,Aegis Vopak Terminals Limited,EQ,2-Jun-25,10,2.2295E+11,Energy
59,AEQUS,Aequs Limited,EQ,10-Dec-25,10,88097529856,Industrials
60,AEROENTER,Aeroflex Enterprises Limited,EQ,21-Nov-22,2,9039624192,Basic Materials
61,AEROFLEX,Aeroflex Industries Limited,EQ,31-Aug-23,2,20540444672,Industrials
62,AERONEU,Aeroflex Neu Limited,EQ,12-Jan-23,10,1804035328,Consumer Cyclical
63,AETHER,Aether Industries Limited,EQ,3-Jun-22,10,1.28459E+11,Basic Materials
64,AFCONS,Afcons Infrastructure Limited,EQ,4-Nov-24,10,1.25194E+11,Industrials
65,AFFLE,Affle 3i Limited,EQ,8-Aug-19,2,2.2217E+11,Communication Services
66,AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-Oct-24,10,1849336064,Industrials
67,AFIL,Akme Fintrade (India) Limited,EQ,26-Jun-24,1,2121585152,Financial Services
68,AFSL,Abans Financial Services Limited,EQ,23-Dec-22,2,10228809728,Financial Services
69,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-May-14,10,10059113472,Basic Materials
70,AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,4-Feb-25,1,1.4532E+11,Healthcare
71,AGI,AGI Greenpac Limited,EQ,31-May-00,2,42664689664,Consumer Cyclical
72,AGIIL,Agi Infra Limited,EQ,15-Jul-24,1,30699659264,Real Estate
73,AGRITECH,Agri-Tech (India) Limited,BE,28-Jan-14,10,787328384,Consumer Defensive
74,AGROPHOS,Agro Phos India Limited,EQ,8-Mar-19,10,736153152,Basic Materials
75,AGSTRA,AGS Transact Technologies Limited,BZ,31-Jan-22,10,489178016,Technology
76,AHCL,Anlon Healthcare Limited,EQ,3-Sep-25,10,6741735936,Healthcare
77,AHLADA,Ahlada Engineers Limited,EQ,28-Jan-21,10,655869952,Industrials
78,AHLEAST,Asian Hotels (East) Limited,EQ,11-Aug-10,10,2318897408,Consumer Cyclical
79,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-Dec-09,2,55671828480,Industrials
80,AIAENG,AIA Engineering Limited,EQ,14-Dec-05,2,3.48076E+11,Industrials
81,AIIL,Authum Investment & Infrastructure Limited,EQ,23-Apr-24,1,4.43126E+11,Financial Services
82,AIRAN,Airan Limited,EQ,3-May-19,2,1724025856,Technology
83,AIROLAM,Airo Lam limited,EQ,13-Oct-21,10,1344179200,Consumer Cyclical
84,AJANTPHARM,Ajanta Pharma Limited,EQ,29-May-00,2,3.37441E+11,Healthcare
85,AJAXENGG,Ajax Engineering Limited,EQ,17-Feb-25,1,55687507968,Industrials
86,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-Jun-09,2,29223819264,Real Estate
87,AJOONI,Ajooni Biotech Limited,EQ,7-May-21,2,663137856,Consumer Defensive
88,AKASH,Akash Infra-Projects Limited,EQ,11-Oct-19,10,411277248,Industrials
89,AKG,Akg Exim Limited,EQ,16-Feb-21,10,418497504,Industrials
90,AKI,AKI India Limited,EQ,6-Apr-23,2,645156160,Consumer Cyclical
91,AKSHAR,Akshar Spintex Limited,EQ,23-May-22,1,385859552,Consumer Cyclical
92,AKSHARCHEM,AksharChem India Limited,EQ,28-Mar-17,10,1842391296,Basic Materials
93,AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-Aug-00,5,889957824,Technology
94,AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,6-Aug-24,2,65080786944,Healthcare
95,AKZOINDIA,Akzo Nobel India Limited,EQ,28-Jun-01,10,1.33825E+11,Basic Materials
96,ALANKIT,Alankit Limited,EQ,30-Jun-15,1,2656573696,Technology
97,ALBERTDAVD,Albert David Limited,EQ,14-Jun-16,10,3955410688,Healthcare
98,ALEMBICLTD,Alembic Limited,EQ,22-Sep-99,2,23595681792,Real Estate
99,ALGOQUANT,Algoquant Fintech Limited,EQ,6-Jan-26,1,17486983168,Financial Services
100,ALICON,Alicon Castalloy Limited,EQ,29-Sep-06,5,11023283200,Industrials
101,ALIVUS,Alivus Life Sciences Limited,EQ,6-Aug-21,2,1.08727E+11,Healthcare
102,ALKALI,Alkali Metals Limited,EQ,6-Nov-08,10,710314432,Basic Materials
103,ALKEM,Alkem Laboratories Limited,EQ,23-Dec-15,2,6.87559E+11,Healthcare
104,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-Nov-07,2,79902351360,Basic Materials
105,ALLCARGO,Allcargo Logistics Limited,EQ,23-Jun-06,2,13761718272,Industrials
106,ALLDIGI,Alldigi Tech Limited,EQ,9-May-05,10,12084754432,Industrials
107,ALLTIME,All Time Plastics Limited,EQ,14-Aug-25,2,14916121600,Consumer Defensive
108,ALMONDZ,Almondz Global Securities Limited,EQ,16-Jun-08,1,2584482048,Financial Services
109,ALOKINDS,Alok Industries Limited,EQ,19-Feb-20,1,71648419840,Consumer Cyclical
110,ALPA,Alpa Laboratories Limited,EQ,6-Aug-07,10,1346037760,Healthcare
111,ALPHAGEO,Alphageo (India) Limited,EQ,11-May-07,10,1270216576,Energy
112,AMAGI,Amagi Media Labs Limited,EQ,21-Jan-26,5,,Technology
113,AMANTA,Amanta Healthcare Limited,EQ,9-Sep-25,10,3885264896,Healthcare
114,AMBER,Amber Enterprises India Limited,EQ,30-Jan-18,10,1.9575E+11,Consumer Cyclical
115,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-Jun-04,10,415896832,Consumer Defensive
116,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-Jan-08,10,6965473792,Consumer Cyclical
117,AMBUJACEM,Ambuja Cements Limited,EQ,18-Feb-98,2,1.28189E+12,Basic Materials
118,AMDIND,AMD Industries Limited,EQ,19-Mar-07,10,853781760,Consumer Cyclical
119,AMJLAND,Amj Land Holdings Limited,EQ,8-Feb-95,2,1741680000,Real Estate
120,AMNPLST,Amines & Plasticizers Limited,EQ,10-Nov-23,2,9579532288,Basic Materials
121,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,2-Jan-15,1,17454202880,Healthcare
122,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-Dec-21,5,2.45715E+11,Financial Services
123,ANANTRAJ,Anant Raj Limited,EQ,27-Sep-06,2,1.80541E+11,Real Estate
124,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-May-04,2,12527561728,Basic Materials
125,ANDHRSUGAR,The Andhra Sugars Limited,EQ,1-Nov-95,2,9219289088,Basic Materials
126,ANGELONE,Angel One Limited,EQ,5-Oct-20,10,2.28511E+11,Financial Services
127,ANIKINDS,Anik Industries Limited,EQ,21-May-08,10,1373797504,Consumer Defensive
128,ANKITMETAL,Ankit Metal & Power Limited,BZ,14-Mar-13,10,246943360,Basic Materials
129,ANMOL,Anmol India Limited,EQ,4-Jun-21,10,703907584,Energy
130,ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-Jan-06,5,489529152,Real Estate
131,ANTELOPUS,Antelopus Selan Energy Limited,EQ,26-Sep-06,10,17765629952,Energy
132,ANTGRAPHIC,Antarctica Limited,EQ,31-Dec-97,1,142608832,Consumer Cyclical
133,ANTHEM,Anthem Biosciences Limited,EQ,21-Jul-25,2,3.41964E+11,Healthcare
134,ANUHPHR,Anuh Pharma Limited,EQ,20-Dec-24,5,7323881984,Healthcare
135,ANUP,The Anup Engineering Limited,EQ,1-Mar-19,10,36457267200,Industrials
136,ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-21,10,1.40168E+11,Basic Materials
137,APARINDS,Apar Industries Limited,EQ,12-Jul-04,10,2.82514E+11,Industrials
138,APCL,Anjani Portland Cement Limited,EQ,10-Apr-17,10,4212047360,Basic Materials
139,APCOTEXIND,Apcotex Industries Limited,EQ,6-Sep-95,2,18385885184,Basic Materials
140,APEX,Apex Frozen Foods Limited,EQ,4-Sep-17,10,8245032448,Consumer Defensive
141,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-11,2,5.5543E+11,Basic Materials
142,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-11,2,1.50646E+11,Healthcare
143,APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-18,1,82179661824,Industrials
144,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-96,5,9.78167E+11,Healthcare
145,APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-19,10,11953934336,Industrials
146,APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-95,1,3.16154E+11,Consumer Cyclical
147,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-15,5,3303027968,Industrials
148,APTECHT,Aptech Limited,EQ,27-Sep-02,10,4775961600,Consumer Defensive
149,APTUS,Aptus Value Housing Finance India Limited,EQ,24-Aug-21,2,1.3018E+11,Financial Services
150,ARCHIDPLY,Archidply Industries Limited,EQ,4-Jul-08,10,1701437312,Basic Materials
151,ARCHIES,Archies Limited,EQ,2-Sep-98,2,562436992,Consumer Cyclical
152,ARE&M,Amara Raja Energy & Mobility Limited,EQ,5-Sep-03,1,1.52147E+11,Industrials
153,ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-95,10,133967728,Basic Materials
154,ARFIN,Arfin India Limited,EQ,22-Jul-25,1,13266184192,Basic Materials
155,ARIES,Aries Agro Limited,EQ,11-Jan-08,10,3908453888,Basic Materials
156,ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-21,1,8291481600,Financial Services
157,ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-17,10,11672747008,Real Estate
158,ARISINFRA,Arisinfra Solutions Limited,EQ,25-Jun-25,2,8596931584,Unknown
159,ARKADE,Arkade Developers Limited,EQ,24-Sep-24,10,20684783616,Real Estate
160,ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-16,10,16947879936,Financial Services
161,AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-07,10,419679008,Industrials
162,ARROWGREEN,Arrow Greentech Limited,EQ,21-May-15,10,6416900096,Consumer Cyclical
163,ARSHIYA,Arshiya Limited,BZ,14-Dec-09,2,331979648,Industrials
164,ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-Sep-25,5,37236846592,Financial Services
165,ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-20,1,,
166,ARTNIRMAN,Art Nirman Limited,EQ,18-Oct-21,10,1073107968,Real Estate
167,ARVEE,Arvee Laboratories (India) Limited,BE,22-Mar-21,10,1666003456,Basic Materials
168,ARVIND,Arvind Limited,EQ,8-Feb-95,10,78149476352,Consumer Cyclical
169,ARVINDFASN,Arvind Fashions Limited,EQ,8-Mar-19,4,58488451072,Consumer Cyclical
170,ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-15,10,24037267456,Real Estate
171,ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-98,1,2.40371E+11,Consumer Cyclical
172,ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-11,10,2785866240,Basic Materials
173,ASAL,Automotive Stampings and Assemblies Limited,EQ,12-Mar-02,10,6492153344,Consumer Cyclical
174,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-20,10,15041058816,Consumer Defensive
175,ASHAPURMIN,Ashapura Minechem Limited,EQ,20-Sep-95,2,65147637760,Basic Materials
176,ASHIANA,Ashiana Housing Limited,EQ,29-Jun-11,2,28584243200,Real Estate
177,ASHIMASYN,Ashima Limited,EQ,27-Jul-95,10,3041645568,Real Estate
178,ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-10,5,41007484928,Industrials
179,ASHOKAMET,Ashoka Metcast Limited,EQ,27-Jun-23,10,348444224,Basic Materials
180,ASHOKLEY,Ashok Leyland Limited,EQ,25-May-95,1,1.13354E+12,Industrials
